Name;Type;StartPointX;StartPointY;StartDirection;StartRadius;EndRadius;Length;Type
H1;IfcAlignmentHorizontalSegment;0,28371400013566;18,7504709996283;0,712199895871347;0;0;193,4232;LINE
H2;IfcAlignmentHorizontalSegment;146,690777998418;145,152630999684;0,712199906334298;0;200;63,845;CLOTHOID
H3;IfcAlignmentHorizontalSegment;192,677965000272;189,335668999702;0,871812399176709;200;200;34,420584;CIRCULARARC
H4;IfcAlignmentHorizontalSegment;212,454617001116;217,455753999762;1,04391527787276;200;0;63,845;CLOTHOID
H5;IfcAlignmentHorizontalSegment;238,485470999032;275,673937000334;1,20352784295313;0;0;21,346852;LINE
H6;IfcAlignmentHorizontalSegment;246,150430001318;295,597202000208;1,20352781983867;0;-200;63,845;CLOTHOID
H7;IfcAlignmentHorizontalSegment;272,181283999234;353,815386000089;1,04391531991188;-200;-200;85,355704;CIRCULARARC
H8;IfcAlignmentHorizontalSegment;329,316711999476;416,355174000375;0,617136818616182;-200;0;63,845;CLOTHOID
H9;IfcAlignmentHorizontalSegment;384,951684001833;447,527471999638;0,457524298045646;0;0;192,323738;LINE
H10;IfcAlignmentHorizontalSegment;557,494701001793;532,482327000238;0,457524292762515;200;200;82,814142;CIRCULARARC
H11;IfcAlignmentHorizontalSegment;622,220316998661;583,19077100046;0,871595018418373;-200;-200;100,11889;CIRCULARARC
H12;IfcAlignmentHorizontalSegment;702,781991001219;640,86246099975;0,37100055838095;0;0;58,659577;LINE
H13;IfcAlignmentHorizontalSegment;757,450667001307;662,129378999583;0,371000555025985;-200;-200;115,440984;CIRCULARARC
H14;IfcAlignmentHorizontalSegment;870,909519001842;671,499387999997;6,07698093924176;200;200;102,335082;CIRCULARARC
H15;IfcAlignmentHorizontalSegment;972,007240001112;676,521331000142;0,305471032863846;0;0;28,790227;LINE
