StartDistAlong;HorizontalLength;StartHeight;StartGradient;EndGradient;Radius;Type
0.0;67.967;43.475;-0.0077341;-0.0077341;;.CONSTANTGRADIENT.
67.967;25.560;42.950;-0.0077341;-0.0933380;-300.0;.CIRCULARARC.
93.527;20.399;41.660;-0.0933380;-0.0933380;;.CONSTANTGRADIENT.
113.925;21.684;39.756;-0.0933380;-0.0206578;300.0;.CIRCULARARC.
135.609;68.626;38.522;-0.0206578;-0.0206578;;.CONSTANTGRADIENT.
204.235;56.932;37.104;-0.0206578;0.0078128;2000.0;.CIRCULARARC.
261.167;46.450;36.739;0.0078128;0.0078128;;.CONSTANTGRADIENT.
307.617;101.901;37.102;0.0078128;0.0486302;2500.0;.CIRCULARARC.
409.517;30.592;39.976;0.0486302;0.0486302;;.CONSTANTGRADIENT.
440.109;64.029;41.464;0.0486302;-0.0154579;-1000.0;.CIRCULARARC.
504.138;203.572;42.525;-0.0154579;-0.0154579;;.CONSTANTGRADIENT.
707.709;55.848;39.378;-0.0154579;-0.0714863;-1000.0;.CIRCULARARC.
763.558;76.625;36.952;-0.0714863;0.0053208;1000.0;.CIRCULARARC.
840.183;152.345;34.421;0.0053208;0.0053208;;.CONSTANTGRADIENT.
992.528;36.817;35.232;0.0053208;0.0237361;2000.0;.CIRCULARARC.
1029.345;52.563;35.766;0.0237361;-0.0288451;-1000.0;.CIRCULARARC.
1081.907;188.502;35.632;-0.0288451;-0.0288451;;.CONSTANTGRADIENT.
