StartPointX;StartPointY;StartDirection;StartRadius;EndRadius;Length;Type
24474600.283;6654918.750;0.7121999;;;193.423;.LINE.
24474746.690;6655045.152;0.7121999;0.0;200.0;63.845;.CLOTHOID.
24474792.678;6655089.336;0.8718124;200.0;200.0;34.421;.CIRCULARARC.
24474812.455;6655117.455;1.0439153;200.0;0.0;63.845;.CLOTHOID.
24474838.485;6655175.674;1.2035278;;;21.347;.LINE.
24474846.150;6655195.597;1.2035278;0.0;-200.0;63.845;.CLOTHOID.
24474872.181;6655253.815;1.0439153;-200.0;-200.0;85.355;.CIRCULARARC.
24474929.317;6655316.355;0.6171368;-200.0;0.0;63.845;.CLOTHOID.
24474984.952;6655347.527;0.4575243;;;192.323;.LINE.
24475157.495;6655432.482;0.4575243;200.0;200.0;82.814;.CIRCULARARC.
24475222.220;6655483.191;0.8715950;-200.0;-200.0;100.119;.CIRCULARARC.
24475302.782;6655540.862;0.3710006;;;58.660;.LINE.
24475357.451;6655562.129;0.3710006;-200.0;-200.0;115.441;.CIRCULARARC.
24475470.910;6655571.499;6.0769809;200.0;200.0;102.335;.CIRCULARARC.
24475572.007;6655576.521;0.3054710;;;28.790;.LINE.
