ID,PredefinedType,Start Dist Along,Horizontal Length,Start Cant left,End Cant left,Start Cant right,End Cant right
1,CONSTANTCANT,0.0000,234.7194,0,0,0,0
2,LINEARTRANSITION,234.7194,40.0000,0,0,0,0.06
3,CONSTANTCANT,274.7194,193.4645,0,0,0.06,0.06
4,LINEARTRANSITION,468.1839,40.0000,0,0,0.06,0
5,CONSTANTCANT,508.1839,38.9815,0,0,0,0
6,LINEARTRANSITION,547.1654,40.0000,0,0.06,0,0
7,CONSTANTCANT,587.1654,109.4317,0.06,0.06,0,0
8,LINEARTRANSITION,696.5971,40.0000,0.06,0,0,0
9,CONSTANTCANT,736.5971,139.7711,0,0,0,0
10,CONSTANTCANT,876.3682,-876.3682,0,0,0,0
